campaign_id,grammar,sqlite_version,run,timestamp_sec,total_edges,total_crashes,exec_count
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,220,13832,12,32829
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,221,13832,12,32829
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,222,13832,12,33103
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,223,13832,12,33339
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,224,13832,12,33732
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,225,13832,12,33931
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,226,13832,12,34130
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,227,13832,12,34549
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,228,13901,12,34808
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,229,13901,12,35172
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,230,13902,12,35347
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,231,13948,12,35577
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,232,13948,12,35882
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,233,13948,13,36091
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,234,13948,13,36091
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,235,13948,13,36091
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,236,13948,13,36091
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,237,13948,13,36217
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,238,13948,13,36430
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,239,13948,13,36697
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,240,14004,14,36697
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,241,14004,14,36697
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,242,14073,14,36697
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,243,14074,14,36697
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,244,14079,14,36697
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,245,14091,15,36697
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,246,14091,15,37823
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,247,14091,15,38051
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,248,14091,15,38181
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,249,14091,15,38181
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,250,14091,15,38181
